ID,Name,Type,PW,StaminaLossScalar (unsure if matters),Duration (ms),Damage Window (ms),NRG,NRGPS,DPS,,StaminaLossScalar is always 0.01,,DamageWindow is always 200ms
222,Pound,Normal,7,0.01,540,200,7,12.96,12.96,,,,
228,Metal Claw,Steel,8,0.01,630,200,7,11.11,12.70,,,,
226,Psycho Cut,Psychic,7,0.01,570,200,7,12.28,12.28,,,,
202,Bite,Dark,6,0.01,500,200,7,14.00,12.00,,,,
204,Dragon Breath,Dragon,6,0.01,500,200,7,14.00,12.00,,,,
210,Wing Attack,Flying,9,0.01,750,200,7,9.33,12.00,,,,
220,Scratch,Normal,6,0.01,500,200,7,14.00,12.00,,,,
230,Water Gun,Water,6,0.01,500,200,7,14.00,12.00,,,,
232,Water Gun (Blastoise),Water,6,0.01,500,200,7,14.00,12.00,,,,
240,Fire Fang,Fire,10,0.01,840,200,8,9.52,11.90,,,,
213,Shadow Claw,Ghost,11,0.01,950,200,8,8.42,11.58,,,,
238,Feint Attack,Dark,12,0.01,1040,200,10,9.62,11.54,,,,
224,Poison Jab,Poison,12,0.01,1050,200,10,9.52,11.43,,,,
234,Zen Headbutt,Psychic,12,0.01,1050,200,9,8.57,11.43,,,,
239,Steel Wing,Steel,15,0.01,1330,200,12,9.02,11.28,,,,
201,Bug Bite,Bug,5,0.01,450,200,7,15.56,11.11,,,,
218,Frost Breath,Ice,9,0.01,810,200,7,8.64,11.11,,,,
233,Mud Slap,Ground,15,0.01,1350,200,12,8.89,11.11,,,,
216,Mud Shot,Ground,6,0.01,550,200,7,12.73,10.91,,,,
221,Tackle,Normal,12,0.01,1100,200,10,9.09,10.91,,,,
237,Bubble,Water,25,0.01,2300,200,25,10.87,10.87,,,,
214,Vine Whip,Grass,7,0.01,650,200,7,10.77,10.77,,,,
217,Ice Shard,Ice,15,0.01,1400,200,12,8.57,10.71,,,,
241,Rock Smash,Fighting,15,0.01,1410,200,12,8.51,10.64,,,,
223,Cut,Normal,12,0.01,1130,200,10,8.85,10.62,,,,
236,Poison Sting,Poison,6,0.01,575,200,8,13.91,10.43,,,,
215,Razor Leaf,Grass,15,0.01,1450,200,12,8.28,10.34,,,,
203,Sucker Punch,Dark,7,0.01,700,200,9,12.86,10.00,,,,
206,Spark,Electric,7,0.01,700,200,8,11.43,10.00,,,,
212,Lick,Ghost,5,0.01,500,200,6,12.00,10.00,,,,
235,Confusion,Psychic,15,0.01,1510,200,14,9.27,9.93,,,,
209,Ember,Fire,10,0.01,1050,200,10,9.52,9.52,,,,
225,Acid,Poison,10,0.01,1050,200,10,9.52,9.52,,,,
227,Rock Throw,Rock,12,0.01,1360,200,15,11.03,8.82,,,,
211,Peck,Flying,10,0.01,1150,200,10,8.70,8.70,,,,
205,Thunder Shock,Electric,5,0.01,600,200,8,13.33,8.33,,,,
207,Low Kick,Fighting,5,0.01,600,200,7,11.67,8.33,,,,
229,Bullet Punch,Steel,10,0.01,1200,200,10,8.33,8.33,,,,
219,Quick Attack,Normal,10,0.01,1330,200,12,9.02,7.52,,,,
200,Fury Cutter,Bug,3,0.01,400,200,6,15.00,7.50,,,,
208,Karate Chop,Fighting,6,0.01,800,200,8,10.00,7.50,,,,
231,Splash,Water,0,0.01,1230,200,10,8.13,0.00,,,,
